date,weekday,l_count,l_food,l_drink,l_total,l_avg,d_count,d_food,d_drink,d_total,d_avg,ol_room,ol_flower,ol_other,ol_goods,ol_total,od_room,od_flower,od_other,od_goods,od_total,w_count,w_food,w_drink,w_room,w_flower,w_total,seat_fee,flower,other,goods,grand_total
2023-04-09,日,29,138820,33660,172480,5947,21,175450,26840,202290,9632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374770
2023-04-10,月,4,15400,4510,19910,4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19910
2023-04-11,火,8,47300,7645,54945,6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54945
2023-04-12,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-13,木,8,37400,7205,44605,5575,3,34100,11440,45540,15180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90145
2023-04-14,金,6,23100,1210,24310,4051,2,26400,8800,35200,17600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59510
2023-04-15,土,6,33660,4620,38280,6380,4,58850,24090,82940,20735,3300,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,3300,0,0,0,124520
2023-04-16,日,7,40150,7590,47740,6820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,75000,165000,420000,0,660000,420000,0,0,0,707740
2023-04-17,月,9,35970,3740,39710,4412,2,22000,14740,36740,18370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76450
2023-04-18,火,4,22000,3465,25465,6366,2,18700,1595,20295,10147,0,0,0,0,0,3300,0,0,0,3300,0,0,0,0,0,0,3300,0,0,0,49060
2023-04-19,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-20,木,8,41910,6820,48730,6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48730
2023-04-21,金,9,18480,2013,20493,2277,6,61600,15895,77495,12915,0,0,0,0,0,3300,0,0,0,3300,0,0,0,0,0,0,3300,0,0,0,101288
2023-04-22,土,0,0,0,0,0,69,887070,207000,1094070,15856,0,0,0,0,0,33000,0,0,0,33000,0,0,0,0,0,0,33000,0,0,0,1127070
2023-04-23,日,13,57310,12375,69685,5360,2,16500,4785,21285,10642,0,0,0,0,0,3300,0,0,0,3300,0,0,0,0,0,0,3300,0,0,0,94270
2023-04-24,月,18,73260,4675,77935,4329,3,49500,19800,69300,23100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147235
2023-04-25,火,22,91300,17600,108900,4950,6,79200,25850,105050,17508,0,0,0,0,0,13200,0,0,0,13200,0,0,0,0,0,0,13200,0,0,0,227150
