date,weekday,sekki,rank,season,season_pt,weekday_pt,daily_pt,l_count,d_count,grand_total
2025-12-22,月,冬至,1,TOP SEASON,5.00,2.00,3.80,0,38,588410
2025-12-23,火,冬至,1,TOP SEASON,5.00,2.00,3.80,16,38,911700
2025-12-24,水,冬至,1,TOP SEASON,5.00,2.00,3.80,10,36,840410
2025-12-25,木,冬至,1,TOP SEASON,5.00,3.00,4.20,0,36,759780
2025-12-26,金,冬至,1,TOP SEASON,5.00,4.00,4.60,0,0,3000
2025-12-27,土,冬至,1,TOP SEASON,5.00,5.00,5.00,34,39,658530
2025-12-28,日,冬至,1,TOP SEASON,5.00,4.00,4.60,30,41,662150
2025-12-29,月,冬至,1,TOP SEASON,5.00,2.00,3.80,0,40,452240
2025-12-30,火,冬至,1,TOP SEASON,5.00,2.00,3.80,0,38,667300
2025-12-31,水,冬至,1,TOP SEASON,5.00,2.00,3.80,0,0,0
2026-01-01,木,冬至,1,TOP SEASON,5.00,3.00,4.20,0,0,0
2026-01-02,金,冬至,1,TOP SEASON,5.00,4.00,4.60,0,42,639670
2026-01-03,土,冬至,1,TOP SEASON,5.00,5.00,5.00,28,39,572300
2026-01-04,日,冬至,1,TOP SEASON,5.00,4.00,4.60,24,38,643920
2026-01-05,月,小寒,18,LOW SEASON,2.17,2.00,2.10,0,37,541200
2026-01-06,火,小寒,18,LOW SEASON,2.17,2.00,2.10,0,31,408680
2026-01-07,水,小寒,18,LOW SEASON,2.17,2.00,2.10,0,31,463060
2026-01-08,木,小寒,18,LOW SEASON,2.17,3.00,2.50,0,22,272900
2026-01-09,金,小寒,18,LOW SEASON,2.17,4.00,2.90,0,30,362560
2026-01-10,土,小寒,18,LOW SEASON,2.17,5.00,3.30,21,30,489710
2026-01-11,日,小寒,18,LOW SEASON,2.17,4.00,2.90,17,33,483890
2026-01-12,月,小寒,18,LOW SEASON,2.17,2.00,2.10,15,34,497130
2026-01-13,火,小寒,18,LOW SEASON,2.17,2.00,2.10,0,0,0
2026-01-14,水,小寒,18,LOW SEASON,2.17,2.00,2.10,0,32,409810
2026-01-15,木,小寒,18,LOW SEASON,2.17,3.00,2.50,0,29,389350
2026-01-16,金,小寒,18,LOW SEASON,2.17,4.00,2.90,0,34,395800
2026-01-17,土,小寒,18,LOW SEASON,2.17,5.00,3.30,17,36,497350
2026-01-18,日,小寒,18,LOW SEASON,2.17,4.00,2.90,16,30,395050
2026-01-19,月,小寒,18,LOW SEASON,2.17,2.00,2.10,0,34,422890
2026-01-20,火,大寒,14,FLOW SEASON,2.83,2.00,2.50,0,21,290360
2026-01-21,水,大寒,14,FLOW SEASON,2.83,2.00,2.50,0,24,300620
2026-01-22,木,大寒,14,FLOW SEASON,2.83,3.00,2.90,0,29,389260
2026-01-23,金,大寒,14,FLOW SEASON,2.83,4.00,3.30,0,31,389970
2026-01-24,土,大寒,14,FLOW SEASON,2.83,5.00,3.70,13,40,586940
2026-01-25,日,大寒,14,FLOW SEASON,2.83,4.00,3.30,3,24,265930
2026-01-26,月,大寒,14,FLOW SEASON,2.83,2.00,2.50,0,27,265500
2026-01-27,火,大寒,14,FLOW SEASON,2.83,2.00,2.50,0,34,392770
2026-01-28,水,大寒,14,FLOW SEASON,2.83,2.00,2.50,0,21,277390
2026-01-29,木,大寒,14,FLOW SEASON,2.83,3.00,2.90,0,24,275980
2026-01-30,金,大寒,14,FLOW SEASON,2.83,4.00,3.30,0,33,358340
2026-01-31,土,大寒,14,FLOW SEASON,2.83,5.00,3.70,2,33,805270
2026-02-01,日,大寒,14,FLOW SEASON,2.83,4.00,3.30,18,38,586930
2026-02-02,月,大寒,14,FLOW SEASON,2.83,2.00,2.50,0,31,400990
2026-02-03,火,大寒,14,FLOW SEASON,2.83,2.00,2.50,0,35,464800
2026-02-04,水,立春,10,HIGH SEASON,3.50,2.00,2.90,0,32,440920
2026-02-05,木,立春,10,HIGH SEASON,3.50,3.00,3.30,0,32,343550
2026-02-06,金,立春,10,HIGH SEASON,3.50,4.00,3.70,0,38,477640
2026-02-07,土,立春,10,HIGH SEASON,3.50,5.00,4.10,15,38,520052
2026-02-08,日,立春,10,HIGH SEASON,3.50,4.00,3.70,5,32,401220
2026-02-09,月,立春,10,HIGH SEASON,3.50,2.00,2.90,0,32,407680
2026-02-10,火,立春,10,HIGH SEASON,3.50,2.00,2.90,0,37,440420
2026-02-11,水,立春,10,HIGH SEASON,3.50,2.00,2.90,0,0,0
2026-02-12,木,立春,10,HIGH SEASON,3.50,3.00,3.30,0,0,0
2026-02-13,金,立春,10,HIGH SEASON,3.50,4.00,3.70,0,0,0
2026-02-14,土,立春,10,HIGH SEASON,3.50,5.00,4.10,0,0,0
2026-02-15,日,立春,10,HIGH SEASON,3.50,4.00,3.70,0,0,0
2026-02-16,月,立春,10,HIGH SEASON,3.50,2.00,2.90,0,0,0
2026-02-17,火,立春,10,HIGH SEASON,3.50,2.00,2.90,0,0,0
2026-02-18,水,立春,10,HIGH SEASON,3.50,2.00,2.90,0,0,0
2026-02-19,木,雨水,19,LOW SEASON,2.00,3.00,2.40,0,0,0
2026-02-20,金,雨水,19,LOW SEASON,2.00,4.00,2.80,0,0,0
2026-02-21,土,雨水,19,LOW SEASON,2.00,5.00,3.20,0,0,0
2026-02-22,日,雨水,19,LOW SEASON,2.00,4.00,2.80,0,0,0
2026-02-23,月,雨水,19,LOW SEASON,2.00,2.00,2.00,0,0,0
2026-02-24,火,雨水,19,LOW SEASON,2.00,2.00,2.00,0,0,0
2026-02-25,水,雨水,19,LOW SEASON,2.00,2.00,2.00,0,0,0
2026-02-26,木,雨水,19,LOW SEASON,2.00,3.00,2.40,0,0,0
2026-02-27,金,雨水,19,LOW SEASON,2.00,4.00,2.80,0,0,0
2026-02-28,土,雨水,19,LOW SEASON,2.00,5.00,3.20,0,0,0
