date,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,total
2023-08-04,17000,62450,73800,52750,51750,291750,383800,626050,179800,0,1739150
2023-08-05,184450,147250,249500,163000,298700,288150,643950,430650,221700,11000,2638350
2023-08-06,173450,55150,87700,99750,156150,175750,200900,109600,49350,0,1107800
2023-08-07,89150,72150,50900,91350,64900,129600,359100,454800,125350,4100,1441400
2023-08-08,114150,83800,33400,261100,24350,177950,277350,947450,33500,1900,1954950
2023-08-09,109200,127200,50050,32100,91000,460650,294500,489500,30500,700,1685400
2023-08-10,149900,78700,110150,88650,17200,356150,388600,672250,40550,20600,1922750
2023-08-11,222350,186300,118600,164800,323800,355100,314350,370850,139700,16500,2212350
2023-08-12,190750,188900,80000,159200,276900,270700,532250,442950,145600,1400,2288650
2023-08-13,282300,139750,141700,132150,189200,370900,390900,401700,187350,9500,2245450
2023-08-14,265500,183750,109600,151950,159850,324850,394850,272250,69150,3900,1935650
2023-08-15,249750,90150,117600,147500,165950,402750,515300,220950,55600,22000,1987550
2023-08-16,81450,98450,56500,28850,24800,53100,230250,230250,36050,0,839700
2023-08-17,115850,122400,36450,100750,75950,104000,176000,195050,43000,5600,975050
2023-08-18,128500,88850,54650,97500,127550,208300,633750,376700,112850,0,1828650
2023-08-19,291200,211300,110250,177050,281900,223300,588300,306850,99500,12750,2302400
2023-08-20,237600,93800,89250,197750,240350,222600,448100,175200,54700,27500,1786850
2023-08-21,125800,116850,49800,77100,112150,119950,447550,252950,42600,0,1344750
2023-08-22,89750,40400,74850,59300,32150,268200,376850,267850,80950,22700,1313000
2023-08-23,37400,24400,22650,76900,78550,427450,248200,261500,63350,0,1240400
2023-08-24,45650,48600,47350,13450,29500,64850,463600,412700,6700,33700,1166100
2023-08-25,76900,25300,48600,23100,15000,97350,293600,558400,183700,11000,1332950
2023-08-26,295500,91650,254900,97900,185150,253650,294350,187000,108600,12100,1780800
2023-08-27,266100,65550,163200,102750,234650,186150,338400,174550,61900,1600,1594850
2023-08-28,95550,56200,38000,3400,42950,68000,196200,257100,69200,5500,832100
2023-08-29,90750,68600,30800,18550,124200,369900,238000,103400,24600,115500,1184300
2023-08-30,95650,133350,47000,88200,27950,59100,520650,149100,29400,66000,1216400
2023-08-31,71150,38150,5250,71350,14800,246800,273850,291550,26850,700,1040450
2023-09-01,194750,66600,7050,25050,231550,78150,264250,316650,60750,0,1244800
2023-09-02,239400,217250,103500,145950,256100,312700,259150,135700,27500,0,1697250
2023-09-03,235000,232850,102400,54600,212550,300300,181000,150450,31400,22000,1522550
