date,weekday,l_count,l_food,l_drink,l_total,l_avg,d_count,d_food,d_drink,d_total,d_avg,l_room_fee,l_flower,d_room_fee,d_flower,event_count,event_food,event_drink,event_room_fee,event_flower,event_total,grand_total
2023-02-26,日,5,13,4053,1196,75075,3,7,10714,2164,99165,0,0,0,0,0,0,0,0,0,0,0
2023-02-27,月,2,3,5300,1300,21780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-28,火,4,9,4366,483,48015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,水,2,4,5000,450,23980,3,15,15000,9053,396880,0,0,0,0,0,0,0,0,0,0,0
2023-03-02,木,0,0,0,0,0,1,34,7272,1818,340000,0,0,0,0,0,0,0,0,0,0,0
2023-03-03,金,1,10,3500,795,47245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-04,土,5,16,3250,1078,76175,3,6,15250,2441,116765,0,0,0,0,0,0,0,0,0,0,0
2023-03-05,日,0,0,0,0,0,2,4,11875,3175,66220,0,0,0,0,0,0,0,0,0,0,0
2023-03-06,月,0,0,0,0,0,1,6,8500,1400,65340,0,0,0,0,0,0,0,0,0,0,0
2023-03-07,火,7,17,4405,644,94446,0,0,0,0,0,264,0,0,1540,0,0,0,0,0,0,0
2023-03-08,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-09,木,4,10,4040,730,52470,1,5,15000,5520,112860,0,0,0,0,0,0,0,0,0,0,0
2023-03-10,金,3,7,5342,492,44935,5,13,9692,2803,178695,0,0,0,0,0,0,0,0,0,0,0
2023-03-11,土,6,15,4420,916,88055,3,8,9863,1118,96645,0,0,0,0,0,0,0,0,0,0,0
2023-03-12,日,7,22,4590,940,133870,3,8,8687,2443,97955,0,0,0,0,0,0,0,0,0,0,0
2023-03-13,月,4,8,3950,343,37785,1,6,10000,2650,83490,0,0,0,0,10,10000,85000,0,0,0,0
2023-03-14,火,6,20,5030,1592,145695,1,4,6363,3522,43500,0,0,0,0,0,0,0,0,0,0,0
2023-03-15,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-16,木,3,6,3500,516,26510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-17,金,1,2,4700,1750,14190,3,12,8795,2309,146585,0,0,0,0,0,0,0,0,0,0,0
2023-03-18,土,2,4,3500,587,17985,4,15,9136,4593,226545,0,0,0,0,0,0,0,0,0,0,0
2023-03-19,日,2,4,3500,975,19690,3,13,8192,1926,144705,0,0,0,0,0,0,0,0,0,0,0
2023-03-20,月,3,6,5500,1466,45980,5,14,10571,4125,226325,0,0,0,0,0,0,0,0,0,0,0
2023-03-21,火,8,18,5135,600,113564,1,3,10000,1650,38445,0,0,0,1936,0,0,0,0,0,0,0
2023-03-22,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23,木,3,9,1555,2822,43340,2,7,3428,3457,53020,0,0,0,0,0,0,0,0,0,0,0
2023-03-24,金,3,11,4318,1172,66440,8,19,7715,2117,205505,0,0,0,0,0,0,0,0,0,0,0
2023-03-25,土,6,13,5546,915,92400,6,25,12176,2683,408640,0,0,0,0,0,0,0,0,0,0,0
2023-03-26,日,6,13,3769,469,60610,1,2,12000,4500,36300,0,0,0,0,0,0,0,0,0,0,0
2023-03-27,月,4,8,4250,637,43010,3,11,9966,2358,149135,0,0,0,0,0,0,0,0,0,0,0
2023-03-28,火,3,5,6140,510,36575,2,7,10500,3657,109010,0,0,0,0,0,0,0,0,0,0,0
2023-03-29,水,0,0,0,0,0,1,16,6363,2727,160000,0,0,0,0,0,0,0,0,0,0,0
2023-03-30,木,5,13,4146,469,66000,2,8,9687,1325,96910,0,0,0,0,0,0,0,0,0,0,0
2023-03-31,金,4,31,4303,443,161865,1,16,13636,4545,320000,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,土,3,13,4423,1211,80575,3,6,10833,1491,81345,0,0,0,0,0,0,0,0,0,0,0
2023-04-02,日,6,17,4417,602,93885,4,15,8621,2789,188270,0,0,0,0,0,0,0,0,0,0,0
2023-04-03,月,2,4,4975,912,25905,3,15,9266,2960,201740,0,0,0,0,0,0,0,0,0,0,0
2023-04-04,火,3,6,4600,341,32615,1,19,9090,2727,247000,0,0,0,0,0,0,0,0,0,0,0
2023-04-05,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-06,木,2,5,4220,660,26840,1,12,9674,2727,163700,0,0,0,0,0,0,0,0,0,0,0
2023-04-07,金,2,8,3950,668,40645,2,16,9471,2556,211700,0,0,0,0,0,0,0,0,0,0,0
2023-04-08,土,11,28,4357,914,162360,2,4,8250,800,39820,0,0,0,0,0,0,0,0,0,0,0
2023-04-09,日,6,29,4351,1055,172480,3,21,7595,1161,202290,0,0,0,0,0,0,0,0,0,0,0
2023-04-10,月,2,4,3500,1025,19910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-11,火,3,8,5375,868,54945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-12,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-13,木,4,8,4250,818,44605,2,3,10333,3466,45540,0,4000,1600,4000,0,0,0,0,0,0,0
2023-04-14,金,3,6,3500,183,24310,1,2,12000,4000,35200,0,0,0,0,0,0,0,0,0,0,0
2023-04-15,土,3,6,5100,700,38280,2,4,13375,5475,82940,0,0,0,0,0,0,0,0,0,0,0
2023-04-16,日,3,7,5214,985,47740,0,0,0,0,0,0,0,0,0,50,75000,420000,0,0,0,0
2023-04-17,月,3,9,3633,377,39710,1,2,10000,6700,36740,0,0,0,0,0,0,0,0,0,0,0
2023-04-18,火,2,4,5000,787,25465,1,2,8500,725,20295,0,0,0,0,0,0,0,0,0,0,0
2023-04-19,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-20,木,3,8,4762,775,48730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-21,金,2,9,1866,203,20493,3,6,9333,2408,77495,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,土,0,0,0,0,0,1,69,11687,2727,1094070,0,0,0,0,0,0,0,0,0,0,0
2023-04-23,日,6,13,4007,865,69685,1,2,7500,2175,21285,0,0,0,0,0,0,0,0,0,0,0
2023-04-24,月,7,18,3700,236,77935,1,3,15000,6000,69300,0,0,0,0,0,0,0,0,0,0,0
2023-04-25,火,7,22,3772,727,108900,1,6,12000,3916,105050,0,0,0,0,0,0,0,0,0,0,0
2023-04-26,水,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-27,木,2,4,4100,1262,23595,2,7,11285,2785,108350,0,0,0,0,0,0,0,0,0,0,0
