Date,Day,Sales
1/16,Thu,154450
1/17,Fri,172900
1_18,Sat,163900
1/19,Sun,156850
1/20,Mon,122700
1/21,Tue,121050
1/22,Wed,178900
1/23,Thu,143850
1/24,Fri,161110
1/25,Sat,154850
1/26,Sun,197700
1/27,Mon,90100
1/28,Tue,147400
1/29,Wed,168250
1/30,Thu,150700
1/31,Fri,150650
2/1,Sat,167650
2/2,Sun,193050
2/3,Mon,140100
2/4,Tue,178700
2/5,Wed,186400
2/6,Thu,186500
2/7,Fri,162100
2/8,Sat,263550
2/9,Sun,146050
2/10,Mon,174700
2/11,Tue,160200
2/12,Wed,124100
2/13,Thu,111650
2/14,Fri,182600
2/15,Sat,137250
2/16,Sun,132850
2/17,Mon,95400
2/18,Tue,114750
2/19,Wed,113050
2/20,Thu,94150
2/21,Fri,112050
2/22,Sat,139800
2/23,Sun,138850
2/24,Mon,102400
2/25,Tue,117800
2/26,Wed,91250
2/27,Thu,111000
2/28,Fri,137950
3/1,Sat,135400
3/2,Sun,137450
3/3,Mon,96150
3/4,Tue,82800
3/5,Wed,112450
3/6,Thu,118750
3/7,Fri,142050
3/8,Sat,146300
3/9,Sun,144800
3/10,Mon,111650
3/11,Tue,104000
3/12,Wed,140350
3/13,Thu,110850
3/14,Fri,160850
3/15,Sat,163250
3/16,Sun,98900
3/17,Mon,81700
3/18,Tue,75700
3/19,Wed,118350
3/20,Thu,130450
3/21,Fri,116650
3/22,Sat,130250
3/23,Sun,85150
3/24,Mon,106050
3/25,Tue,85550
3/26,Wed,113150
3/27,Thu,107850
3/28,Fri,102100
3/29,Sat,142150
3/30,Sun,144800
3/31,Mon,111150
