■店舗名: LA BRIQUE SAPPORO Akarenga Terrace
月別サマリー
その他クレジット,3260724.0
交通系IC,13150.0
交通系電子マネー,89830.0
楽天Edy,28880.0
電子マネー,4311946.0

店舗合計,8,463,870


■総合計,410,078,261
